ID	x	y	z	cluster
human3_lib1.final_cell_0348	11.339092	1.758923	-6.096978	1.000000
human3_lib1.final_cell_0349	-26.301928	6.388493	-7.169409	3.000000
human3_lib1.final_cell_0350	12.212905	13.561559	-9.073335	1.000000
human3_lib1.final_cell_0351	-2.740762	-0.103924	1.566288	1.000000
human3_lib1.final_cell_0352	5.685287	1.101515	9.199225	1.000000
human3_lib1.final_cell_0353	-23.542800	3.202541	-1.267574	3.000000
human3_lib1.final_cell_0354	-0.669166	20.213367	-3.485795	1.000000
human3_lib1.final_cell_0355	10.571067	-1.765853	-6.847285	1.000000
human3_lib1.final_cell_0356	1.912014	-0.374526	2.136452	1.000000
human3_lib1.final_cell_0357	7.091041	-9.663551	1.278875	1.000000
human3_lib1.final_cell_0358	8.053061	17.535474	7.289647	1.000000
human3_lib1.final_cell_0359	12.365944	9.209649	-6.645475	1.000000
human3_lib1.final_cell_0360	-5.934770	19.935019	-20.055913	3.000000
human3_lib1.final_cell_0361	-11.458976	-1.622783	2.053315	6.000000
human3_lib1.final_cell_0362	-0.115756	-14.889656	-24.957795	3.000000
human3_lib1.final_cell_0363	-4.822443	1.587566	3.932408	1.000000
human3_lib1.final_cell_0364	13.284338	-2.799774	-3.047450	1.000000
human3_lib1.final_cell_0365	-6.060610	1.578140	1.003991	6.000000
human3_lib1.final_cell_0366	9.239140	10.722794	6.481056	1.000000
human3_lib1.final_cell_0367	-0.051898	6.608052	-6.253441	1.000000
human3_lib1.final_cell_0368	-2.948129	-0.887799	14.055386	1.000000
human3_lib1.final_cell_0369	14.100988	13.432853	-11.200102	1.000000
human3_lib1.final_cell_0370	15.783283	6.743818	-10.052959	1.000000
human3_lib1.final_cell_0371	-24.663100	24.956622	-11.893390	3.000000
human3_lib1.final_cell_0372	10.251863	13.129949	-4.536173	1.000000
human3_lib1.final_cell_0373	-16.111121	-11.511476	5.085106	3.000000
human3_lib1.final_cell_0374	1.059550	5.094145	5.297877	1.000000
human3_lib1.final_cell_0375	15.373008	11.260160	-4.437840	1.000000
human3_lib1.final_cell_0376	-11.153578	2.444017	-3.518089	3.000000
human3_lib1.final_cell_0377	6.229617	-5.291564	-4.991919	1.000000
human3_lib1.final_cell_0378	2.896264	8.634549	5.430264	1.000000
human3_lib1.final_cell_0379	9.089302	8.017651	-8.283323	1.000000
human3_lib1.final_cell_0380	7.800059	-10.454117	6.171512	1.000000
human3_lib1.final_cell_0381	-6.987396	1.346197	1.107841	6.000000
human3_lib1.final_cell_0382	-7.477617	-1.254204	3.598457	3.000000
